origin,destination,count
ATL,ABE,52
ATL,ABQ,86
ATL,ABY,83
ATL,ACY,62
ATL,AEX,92
ATL,AGS,251
ATL,ALB,87
ATL,ASE,13
ATL,ATW,26
ATL,AUS,172
ATL,AVL,262
ATL,BDL,176
ATL,BHM,379
ATL,BMI,207
ATL,BNA,295
ATL,BOS,473
ATL,BQK,81
ATL,BTR,183
ATL,BUF,241
ATL,BWI,501
ATL,BZN,11
ATL,CAE,301
ATL,CAK,329
ATL,CHA,249
ATL,CHO,73
ATL,CHS,297
ATL,CLE,220
ATL,CLT,583
ATL,CMH,246
ATL,COS,32
ATL,CRW,120
ATL,CSG,135
ATL,CVG,160
ATL,DAB,159
ATL,DAY,335
ATL,DCA,631
ATL,DEN,415
ATL,DFW,758
ATL,DHN,116
ATL,DSM,59
ATL,DTW,388
ATL,EGE,13
ATL,ELP,78
ATL,EVV,88
ATL,EWN,76
ATL,EWR,477
ATL,EYW,94
ATL,FAY,264
ATL,FLL,683
ATL,FLO,29
ATL,FNT,243
ATL,FWA,60
ATL,GNV,181
ATL,GPT,215
ATL,GRK,53
ATL,GRR,110
ATL,GSO,271
ATL,GSP,268
ATL,GTR,54
ATL,GUC,2
ATL,HDN,12
ATL,HNL,31
ATL,HOU,349
ATL,HPN,192
ATL,HSV,307
ATL,IAD,416
ATL,IAH,414
ATL,ICT,229
ATL,ILM,177
ATL,IND,311
ATL,JAC,12
ATL,JAN,270
ATL,JAX,467
ATL,JFK,195
ATL,LAS,341
ATL,LAX,401
ATL,LEX,232
ATL,LFT,87
ATL,LGA,716
ATL,LIT,255
ATL,LYH,67
ATL,MCI,354
ATL,MCO,843
ATL,MDT,116
ATL,MDW,328
ATL,MEI,58
ATL,MEM,395
ATL,MGM,230
ATL,MHT,31
ATL,MIA,515
ATL,MKE,296
ATL,MLB,178
ATL,MLI,207
ATL,MLU,81
ATL,MOB,230
ATL,MSP,456
ATL,MSY,415
ATL,MTJ,12
ATL,MYR,184
ATL,OAJ,118
ATL,OKC,173
ATL,OMA,140
ATL,ONT,31
ATL,ORD,602
ATL,ORF,190
ATL,PBI,393
ATL,PDX,86
ATL,PFN,231
ATL,PHF,357
ATL,PHL,555
ATL,PHX,331
ATL,PIT,391
ATL,PNS,386
ATL,PVD,88
ATL,PWM,78
ATL,RDU,442
ATL,RIC,373
ATL,RNO,8
ATL,ROA,131
ATL,ROC,214
ATL,RSW,378
ATL,SAN,150
ATL,SAT,362
ATL,SAV,309
ATL,SBN,57
ATL,SDF,245
ATL,SEA,184
ATL,SFO,247
ATL,SGF,88
ATL,SHV,165
ATL,SJC,31
ATL,SJU,194
ATL,SLC,247
ATL,SMF,57
ATL,SNA,136
ATL,SRQ,275
ATL,STL,340
ATL,STT,61
ATL,STX,11
ATL,SWF,31
ATL,SYR,88
ATL,TLH,289
ATL,TPA,603
ATL,TRI,212
ATL,TUL,130
ATL,TUS,60
ATL,TYS,260
ATL,VLD,87
ATL,VPS,284
ATL,XNA,153
