STATE	SQ_MI_AREA	AREA_RANK	K_POPULATION	K_POPULATION_RANK
ALABAMA	52,419	30	4,558	23
ALASKA	663,267	1	664	47
ARIZONA	113,998	6	5,939	17
ARKANSAS	53,179	29	2,779	32
CALIFORNIA	163,696	3	36,132	1
COLORADO	104,094	8	4,665	22
CONNECTICUT	5,543	48	3,510	29
DELAWARE	2,489	49	844	45
FLORIDA	65,755	22	17,790	4
GEORGIA	59,425	24	9,073	9
HAWAII	10,931	43	1,275	42
IDAHO	83,570	14	1,429	39
ILLINOIS	57,914	25	12,763	5
INDIANA	36,418	38	6,272	15
IOWA	56,272	26	2,966	30
KANSAS	82,277	15	2,745	33
KENTUCKY	40,409	37	4,173	26
LOUISIANA	51,840	31	4,524	24
MAINE	35,385	39	1,322	40
MARYLAND	12,407	42	5,600	19
MASSACHUSETTS	10,555	44	6,399	13
MICHIGAN	96,716	11	10,121	8
MINNESOTA	86,939	12	5,133	21
MISSISSIPPI	48,430	32	2,921	31
MISSOURI	69,704	21	5,800	18
MONTANA	147,042	4	936	44
NEBRASKA	77,354	16	1,759	38
NEVADA	110,561	7	2,415	35
NEW HAMPSHIRE	9,350	46	1,109
NEW JERSEY	8,721	47	7,748
NEW MEXICO	121,590	5	1,515
NEW YORK	54,556	27	17,991
NORTH CAROLINA	53,819	28	6,632
NORTH DAKOTA	70,700	19	639
OHIO	44,825	34	11,464	7
OKLAHOMA	69,898	20	3,548	28
OREGON	98,381	9	3,641	27
PENNSYLVANIA	46,055	33	12,430	6
RHODE ISLAND	1,545	50	1,003
SOUTH CAROLINA	32,020	40	3,486
SOUTH DAKOTA	77,117	17	696
TENNESSEE	42,143	36	5,963	16
TEXAS	268,581	2	22,860	2
UTAH	84,899	13	2,470	34
VERMONT	9,614	45	623	49
VIRGINIA	42,774	35	7,567	12
WASHINGTON	71,300	18	6,288	14
WEST VIRGINIA	24,230	41	1,793
WISCONSIN	65,498	23	5,536	20
WYOMING	97,814	10	509	50
